# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = CC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# M_W_GeV      = 80.379
# pdf_set      = NNPDF31_nlo_as_0118
# PTO          = 1 (0=LO, 1=NLO)
# esquema      = ZM-VFNS, TMC desligada, CKM completa
# formula      = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# Q2min_GeV2   = 1.0
# nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# tabela_SF    = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
#
# AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# ultima coluna diz que fracao de sigma vem dali. Nao e um
# defeito escondido: e exatamente a hipotese que o modelo de
# dipolo substitui. Onde essa fracao e grande, a inclinacao
# alpha_eff colinear e uma PROPRIEDADE DA EXTRAPOLACAO (uma
# lei de potencia continuada), nao uma medida.
# Enu_GeV sigma_GeV_minus2 sigma_cm2 fracao_x_abaixo_do_grid
1.894924772e+11 0.0001188735195 4.628685214e-32 0.00453947
2.062439753e+11 0.0001217935664 4.74238571e-32 0.00498292
2.244763378e+11 0.0001247795482 4.85865357e-32 0.00554629
2.443204762e+11 0.0001278291942 4.977400379e-32 0.00604033
2.659188745e+11 0.0001309477489 5.098830352e-32 0.00674613
2.894266125e+11 0.0001341366036 5.222997657e-32 0.00748905
3.150124796e+11 0.0001373941893 5.349841203e-32 0.00808109
3.428601864e+11 0.0001407235275 5.47947864e-32 0.00889397
3.731696838e+11 0.0001441275402 5.612023746e-32 0.0098008
4.061585988e+11 0.0001476059563 5.747465965e-32 0.010895
4.420637972e+11 0.0001511591351 5.885819288e-32 0.0119673
4.811430839e+11 0.0001547913172 6.02724883e-32 0.0129225
5.236770544e+11 0.0001585041039 6.171816948e-32 0.0144614
5.699711094e+11 0.0001622949058 6.319422813e-32 0.0158529
6.203576476e+11 0.0001661691368 6.470277231e-32 0.0173112
6.751984523e+11 0.0001701291427 6.624471547e-32 0.0186489
7.348872892e+11 0.0001741734641 6.781948928e-32 0.0204334
7.998527337e+11 0.0001783045595 6.942805107e-32 0.0222823
8.705612479e+11 0.0001825265593 7.107200912e-32 0.0244433
9.475205303e+11 0.0001868407962 7.275188239e-32 0.0270199
