# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_IIM.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = IIM
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 89bbd23-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# dipole.largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s = 4]
# dipole.bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c = 1.4]
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# colinear.AVISO -- EXTRAPOLACAO DO PDF. Abaixo de x = 1e-09 o LHAPDF extrapola (continuation), e a
# pontos_sem_convergencia_do_passo = 28 de 200
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
337006432.9,0.3203154373,0.3482679551,1.192379914,1.21082958
382749447.9,0.3187077254,0.3473189689,1.191327357,1.210198558
434701315.8,0.3155449771,0.345052794,1.189259441,1.208693011
493704785.3,0.3139930998,0.3441185488,1.188246082,1.208072885
560716993.8,0.3109407456,0.3419370124,1.186255446,1.206626081
636824994.5,0.3094426288,0.3409939673,1.185279649,1.206001186
723263389.6,0.3064952209,0.338948041,1.183362199,1.204646595
821434358.5,0.3050469634,0.3379553407,1.182421165,1.203989884
932930402.6,0.3021996794,0.3360794342,1.180573268,1.202749876
1059560179,0.3007997299,0.335004239,1.179665755,1.202039728
1203377841,0.2980477511,0.333274409,1.177883826,1.200898085
1366716356,0.2966928482,0.3321324225,1.177007505,1.200144997
1552225357,0.2940319255,0.3304451225,1.175288375,1.199033165
1762914118,0.2927214595,0.3294045384,1.174442652,1.198347994
2002200372,0.2901466317,0.3276456483,1.172782731,1.197190747
2273965752,0.2888787249,0.3267484606,1.171966209,1.19660088
2582618761,0.2863858011,0.3248941976,1.170362442,1.195382693
2933166278,0.2851592489,0.3241173643,1.169574173,1.194872709
3331294788,0.2827443208,0.3222040793,1.16802372,1.193617582
3783462617,0.281556702,0.3214610749,1.167261989,1.193130522
4297004704,0.2792169741,0.3195837446,1.165762757,1.191900765
4880251584,0.278066683,0.3188410414,1.165026388,1.191414603
5542664521,0.2757996547,0.317029632,1.163576492,1.190229713
6294988990,0.2746843247,0.3162692738,1.162863837,1.189732694
7149428987,0.2724866488,0.3145954496,1.161460878,1.188639307
8119844993,0.271405673,0.3137587418,1.160771423,1.188093124
9221978823,0.2692748234,0.3122430952,1.159413548,1.187104384
1.047370898e+10,0.2682257373,0.3113135211,1.158745606,1.186498378
1.189534067e+10,0.2661596445,0.3099278319,1.157431271,1.185595598
1.350993521e+10,0.2651402936,0.3089342293,1.156783365,1.184948686
1.534368409e+10,0.2631359554,0.3075605485,1.155510453,1.184054895
1.742633386e+10,0.262146541,0.3066938015,1.154882614,1.183491289
1.979166868e+10,0.2602002191,0.305222507,1.153648558,1.182535188
2.247805834e+10,0.259240245,0.3044984918,1.153040377,1.18206498
2.552908068e+10,0.2573494433,0.3029231481,1.151843417,1.181042528
2.899422854e+10,0.2564175584,0.3022971787,1.151253951,1.180636497
3.292971255e+10,0.254579579,0.3006746217,1.150092216,1.179584688
3.739937302e+10,0.2536743929,0.3000728962,1.149520504,1.179194862
4.247571553e+10,0.2518878619,0.2984835662,1.148392973,1.178165841
4.824108704e+10,0.2510076373,0.2978774787,1.147837844,1.177773662
5.47890118e+10,0.2492700503,0.2963319195,1.146742794,1.176774174
6.222570837e+10,0.2484148677,0.2957222298,1.14620423,1.176380131
7.067181274e+10,0.2467251107,0.2943362156,1.145140823,1.175484839
8.026433522e+10,0.2458927082,0.2936179523,1.144617335,1.175021147
9.1158883e+10,0.2442490184,0.2923811377,1.143584339,1.174223121
1.035321843e+11,0.2434387682,0.2915672761,1.143075471,1.173698291
1.175849554e+11,0.2418398243,0.2904368905,1.142071937,1.172969736
1.335451563e+11,0.2410496292,0.2895865337,1.141576318,1.172421962
1.516716888e+11,0.2394934699,0.288444507,1.140600907,1.171686706
1.722585965e+11,0.2387244349,0.2877213385,1.140119178,1.171221357
1.956398344e+11,0.2372086913,0.2864753484,1.139170301,1.170420012
2.221946861e+11,0.2364603693,0.285927203,1.138702133,1.170067652
2.52353917e+11,0.2349829031,0.2845388875,1.137778358,1.169175687
2.866067617e+11,0.2342539882,0.2840301203,1.137322886,1.168848984
3.2550886e+11,0.2328142717,0.2826459794,1.136423795,1.167960626
3.696912707e+11,0.2321039437,0.2821543855,1.135980463,1.167645278
4.198707084e+11,0.2307006557,0.2808021986,1.135105148,1.166778314
4.768611698e+11,0.2300085252,0.2803042769,1.134673672,1.166459231
5.415871378e+11,0.2286400077,0.2790044278,1.133821019,1.165626658
6.150985789e+11,0.2279655072,0.2784906544,1.133401008,1.165297743
6.985879747e+11,0.2266314609,0.27734359,1.132570756,1.164563732
7.934096666e+11,0.2259735168,0.2767233932,1.132161504,1.164167059
9.011018252e+11,0.2246733377,0.2757770012,1.131353207,1.163562013
1.023411402e+12,0.2240300707,0.2749470205,1.130953514,1.163031651
1.162322469e+12,0.2227624542,0.2740889382,1.130166294,1.162483585
1.320088401e+12,0.2221352056,0.2733682215,1.129776961,1.162023456
1.499268433e+12,0.2208982253,0.272425728,1.12900956,1.161422011
1.702769172e+12,0.2202862536,0.2718324223,1.128630096,1.161043558
1.93389175e+12,0.2190788819,0.2707904425,1.127881818,1.160379207
2.196385372e+12,0.2184823323,0.2703556403,1.127512284,1.160102095
2.494508135e+12,0.2173030968,0.2691936081,1.126782162,1.159361825
2.833096102e+12,0.2167206931,0.2687944032,1.126421742,1.159107621
3.21764175e+12,0.2155692385,0.2676460718,1.125709504,1.158376704
3.654383071e+12,0.2150006605,0.267262731,1.125357974,1.158132808
4.150404758e+12,0.2138757142,0.2660739612,1.124662785,1.157376796
4.713753134e+12,0.2133207073,0.2657671945,1.124319963,1.157181784
5.353566677e+12,0.2122218698,0.2647268618,1.12364153,1.156520689
6.080224262e+12,0.2116796792,0.264318806,1.123306927,1.156261487
6.90551352e+12,0.2106062661,0.2634324347,1.122644784,1.155698652
7.842822061e+12,0.2100761858,0.262926854,1.122317944,1.155377738
8.907354639e+12,0.2090278319,0.2622290025,1.121671824,1.154934927
1.01163798e+13,0.208508705,0.2615487439,1.121352014,1.154503443
1.148951e+13,0.2074844595,0.2609303867,1.120721292,1.154111362
1.304901978e+13,0.2069770731,0.2603635238,1.120408978,1.15375205
1.482020706e+13,0.2059755237,0.2596700386,1.119792747,1.153312628
1.683180353e+13,0.205468267,0.2592203224,1.119480772,1.153027758
1.911644075e+13,0.2045001404,0.258452152,1.118885593,1.152541329
