# alpha_scan -- alpha_eff(E) = d ln sigma / d ln E e teto 3^(alpha/2)
# estimador: diferenca centrada em ln E, passo adaptativo por
#            reducao pela metade (h inicial 0.1, piso 3e-3).
#            A rota analitica esta fechada: a interpolacao da
#            tabela e linear em log-log, portanto C^0, e a
#            derivada dela e uma funcao escada.
# faixa_comum_GeV = 1000 1e+14
# dipole.path = dipole/data/sigma_nuN_CC_GBW.dat
# dipole.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# dipole.convention_y = (E_in - E_out)/E_in
# dipole.target = isoscalar_nucleon
# dipole.projectile = nu
# dipole.current = CC
# dipole.units_sigma = cm^2
# dipole.units_E = GeV
# dipole.M_Z_GeV = 91.1876
# dipole.dipole_model = GBW
# dipole.generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# dipole.M_W_GeV = 80.379
# dipole.xF3_from = NNPDF31_nlo_as_0118
# colinear.path = data/sigma_nuN_CC_collinear.dat
# colinear.E_min_GeV = 1000   E_max_GeV = 1e+14   n_pontos = 300
# colinear.convention_y = (E_in - E_out)/E_in
# colinear.target = isoscalar_nucleon
# colinear.projectile = nu
# colinear.current = CC
# colinear.units_sigma = cm^2
# colinear.units_E = GeV
# colinear.M_Z_GeV = 91.1876
# colinear.dipole_model = nenhum; colinear NLO, yadism 0.13.11, NNPDF31_nlo_as_0118
# colinear.generated_by = tools/make_collinear_table.py (PHASIS) commit 89bbd23
# colinear.M_W_GeV = 80.379
# colinear.pdf_set = NNPDF31_nlo_as_0118
# colinear.PTO = 1 (0=LO, 1=NLO)
# colinear.esquema = ZM-VFNS, TMC desligada, CKM completa
# colinear.formula = mesma de dipole/src/sigma_nuN_core.cpp, sem o fator (1-x)^7
# colinear.Q2min_GeV2 = 1.0
# colinear.nos_por_decada_Q = 16.0   nos_por_decada_x = 16.0
# colinear.tabela_SF = 121 x 71 nos em (x, Q^2); x em [1e-15, 1], Q^2 em [1, 2e+14]
# pontos_sem_convergencia_do_passo = 34 de 240
E_GeV,alpha_dipole,alpha_colinear,teto_dipole,teto_colinear
1.133426351e+11,0.2558643643,0.2909940393,1.150904169,1.173328772
1.260138876e+11,0.2553219045,0.2895865337,1.150561278,1.172421962
1.401017353e+11,0.2550510559,0.288973502,1.150390111,1.172027225
1.55764548e+11,0.2547863755,0.288444507,1.150222868,1.171686706
1.731784004e+11,0.2545266552,0.2877213385,1.150058782,1.171221357
1.925390517e+11,0.2540066197,0.2864753484,1.149730304,1.170420012
2.140641462e+11,0.2537524908,0.285927203,1.149569819,1.170067652
2.379956601e+11,0.2535018008,0.2850460032,1.149411528,1.16950142
2.646026213e+11,0.2532494449,0.2845388874,1.149252207,1.169175687
2.941841342e+11,0.2527593666,0.2832633643,1.148942867,1.168356787
3.270727417e+11,0.2525128557,0.2826459794,1.148787299,1.167960626
3.636381638e+11,0.2522722381,0.2821543855,1.14863547,1.167645278
4.042914535e+11,0.252036259,0.2815195959,1.148486588,1.167238198
4.494896181e+11,0.2515602542,0.2803042769,1.14818633,1.166459231
4.997407565e+11,0.251327366,0.279807336,1.148039456,1.166140862
5.556097708e+11,0.251097662,0.2790044278,1.147894608,1.165626658
6.17724717e+11,0.2508647925,0.2784906544,1.147747782,1.165297743
6.867838653e+11,0.250413201,0.27734359,1.147463105,1.164563732
7.635635497e+11,0.2501843402,0.2767233932,1.147318861,1.164167059
8.489268953e+11,0.2499612942,0.276265626,1.1471783,1.163874361
9.438335208e+11,0.2497397477,0.2757770012,1.1470387,1.163562013
1.049350327e+12,0.2492986483,0.2745370035,1.146760808,1.162769736
1.166663489e+12,0.2490811954,0.2740889382,1.146623838,1.162483585
1.297091793e+12,0.2488667834,0.2733682215,1.146488799,1.162023456
1.442101458e+12,0.2486478379,0.2728504943,1.146350921,1.161693034
1.603322623e+12,0.2482240454,0.2718324223,1.146084091,1.161043558
1.782567668e+12,0.2480076521,0.2712141911,1.145947868,1.160649337
1.981851591e+12,0.2477971043,0.2707904425,1.145815341,1.160379207
2.203414659e+12,0.2475876417,0.2703556403,1.145683512,1.160102095
2.449747589e+12,0.2471692224,0.2691936081,1.145420218,1.159361825
2.723619554e+12,0.2469625358,0.2687944032,1.145290181,1.159107621
3.028109308e+12,0.2467588559,0.2681617982,1.14516205,1.158704909
3.366639796e+12,0.246539866,0.2676283153,1.145024304,1.158365405
