# profile_file data/benchmark_02_collapsar_disk_funnel.dat
# sigma_table data/sigma_nuN_CC_GBW.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 1.64167e-30
# r_cm rho_gcm3 tau survival
3.44228e+06 3.22345e+09 7.29751e+09 0
3.45552e+06 3.19264e+09 7.25551e+09 0
3.46881e+06 3.16213e+09 7.21377e+09 0
3.48215e+06 3.13192e+09 7.17226e+09 0
3.49554e+06 3.10199e+09 7.131e+09 0
3.50899e+06 3.07235e+09 7.08995e+09 0
3.52248e+06 3.04299e+09 7.04917e+09 0
3.53603e+06 3.01391e+09 7.0086e+09 0
3.54963e+06 2.98511e+09 6.96827e+09 0
3.56329e+06 2.95658e+09 6.92815e+09 0
3.57699e+06 2.92833e+09 6.8883e+09 0
3.59075e+06 2.90035e+09 6.84865e+09 0
3.60456e+06 2.87263e+09 6.80924e+09 0
3.61842e+06 2.84518e+09 6.77007e+09 0
3.63234e+06 2.81799e+09 6.7311e+09 0
3.64631e+06 2.79106e+09 6.69237e+09 0
3.66034e+06 2.76439e+09 6.65384e+09 0
3.67442e+06 2.73798e+09 6.61554e+09 0
3.68855e+06 2.71181e+09 6.57748e+09 0
3.70274e+06 2.6859e+09 6.53962e+09 0
3.71698e+06 2.66023e+09 6.50198e+09 0
3.73128e+06 2.63481e+09 6.46455e+09 0
3.74563e+06 2.60963e+09 6.42735e+09 0
3.76003e+06 2.58469e+09 6.39038e+09 0
3.7745e+06 2.55999e+09 6.35358e+09 0
3.78901e+06 2.53553e+09 6.31703e+09 0
3.80359e+06 2.5113e+09 6.28066e+09 0
3.81822e+06 2.4873e+09 6.24451e+09 0
3.8329e+06 2.46353e+09 6.20858e+09 0
3.84765e+06 2.43999e+09 6.17283e+09 0
3.86244e+06 2.41667e+09 6.13732e+09 0
3.8773e+06 2.39358e+09 6.10199e+09 0
3.89221e+06 2.3707e+09 6.06688e+09 0
3.90718e+06 2.34805e+09 6.03196e+09 0
3.92221e+06 2.32561e+09 5.99723e+09 0
3.9373e+06 2.30339e+09 5.96271e+09 0
3.95244e+06 2.28137e+09 5.92839e+09 0
3.96765e+06 2.25957e+09 5.89425e+09 0
3.98291e+06 2.23798e+09 5.86033e+09 0
3.99823e+06 2.21659e+09 5.82659e+09 0
4.0136e+06 2.19541e+09 5.79307e+09 0
4.02904e+06 2.17443e+09 5.75972e+09 0
4.04454e+06 2.15365e+09 5.72656e+09 0
4.06009e+06 2.13307e+09 5.69361e+09 0
4.07571e+06 2.11268e+09 5.66082e+09 0
4.09139e+06 2.09249e+09 5.62823e+09 0
4.10712e+06 2.07249e+09 5.59585e+09 0
4.12292e+06 2.05269e+09 5.56363e+09 0
4.13878e+06 2.03307e+09 5.5316e+09 0
4.1547e+06 2.01364e+09 5.49975e+09 0
4.17068e+06 1.9944e+09 5.46809e+09 0
4.18672e+06 1.97534e+09 5.43661e+09 0
4.20282e+06 1.95646e+09 5.40532e+09 0
4.21899e+06 1.93776e+09 5.3742e+09 0
