# profile_file data/collapsar_profile.dat
# sigma_table data/sigma_nuN_CC_IIM.dat
# Enu_GeV 1e+12
# sigma_cm2_interpolated 4.00898e-31
# r_cm rho_gcm3 tau survival
1.93536e+06 1.38319e+11 3.22943e+10 0
1.94281e+06 1.36734e+11 3.20469e+10 0
1.95028e+06 1.35168e+11 3.18018e+10 0
1.95778e+06 1.3362e+11 3.15584e+10 0
1.96531e+06 1.3209e+11 3.13169e+10 0
1.97287e+06 1.30577e+11 3.10772e+10 0
1.98046e+06 1.29082e+11 3.08393e+10 0
1.98808e+06 1.27603e+11 3.06032e+10 0
1.99572e+06 1.26142e+11 3.03692e+10 0
2.0034e+06 1.24697e+11 3.01366e+10 0
2.0111e+06 1.23269e+11 2.99061e+10 0
2.01884e+06 1.21857e+11 2.96771e+10 0
2.0266e+06 1.20461e+11 2.94501e+10 0
2.0344e+06 1.19082e+11 2.92246e+10 0
2.04222e+06 1.17718e+11 2.9001e+10 0
2.05008e+06 1.16369e+11 2.87789e+10 0
2.05796e+06 1.15037e+11 2.85588e+10 0
2.06588e+06 1.13719e+11 2.83401e+10 0
2.07383e+06 1.12417e+11 2.81231e+10 0
2.0818e+06 1.11129e+11 2.7908e+10 0
2.08981e+06 1.09856e+11 2.76944e+10 0
2.09785e+06 1.08598e+11 2.74823e+10 0
2.10592e+06 1.07354e+11 2.7272e+10 0
2.11402e+06 1.06125e+11 2.70632e+10 0
2.12215e+06 1.04909e+11 2.68561e+10 0
2.13031e+06 1.03708e+11 2.66506e+10 0
2.1385e+06 1.0252e+11 2.64467e+10 0
2.14673e+06 1.01346e+11 2.62442e+10 0
2.15499e+06 1.00185e+11 2.60433e+10 0
2.16327e+06 9.90374e+10 2.58441e+10 0
2.1716e+06 9.79031e+10 2.56461e+10 0
2.17995e+06 9.67818e+10 2.54499e+10 0
2.18833e+06 9.56733e+10 2.52552e+10 0
2.19675e+06 9.45775e+10 2.50618e+10 0
2.2052e+06 9.34943e+10 2.487e+10 0
2.21368e+06 9.24234e+10 2.46797e+10 0
2.2222e+06 9.13649e+10 2.44907e+10 0
2.23074e+06 9.03184e+10 2.43034e+10 0
2.23932e+06 8.92839e+10 2.41173e+10 0
2.24794e+06 8.82613e+10 2.39326e+10 0
2.25658e+06 8.72504e+10 2.37495e+10 0
2.26526e+06 8.62511e+10 2.35677e+10 0
2.27397e+06 8.52632e+10 2.33874e+10 0
2.28272e+06 8.42866e+10 2.32083e+10 0
2.2915e+06 8.33213e+10 2.30307e+10 0
2.30031e+06 8.23669e+10 2.28545e+10 0
2.30916e+06 8.14235e+10 2.26795e+10 0
2.31804e+06 8.04909e+10 2.25059e+10 0
2.32696e+06 7.9569e+10 2.23336e+10 0
2.33591e+06 7.86577e+10 2.21627e+10 0
2.34489e+06 7.77567e+10 2.19931e+10 0
2.35391e+06 7.68661e+10 2.18247e+10 0
2.36297e+06 7.59857e+10 2.16576e+10 0
2.37206e+06 7.51154e+10 2.14918e+10 0
2.38118e+06 7.42551e+10 2.13273e+10 0
2.39034e+06 7.34046e+10 2.11641e+10 0
2.39953e+06 7.25638e+10 2.10021e+10 0
2.40876e+06 7.17327e+10 2.08414e+10 0
2.41803e+06 7.09111e+10 2.06817e+10 0
2.42733e+06 7.00989e+10 2.05234e+10 0
2.43666e+06 6.9296e+10 2.03664e+10 0
2.44604e+06 6.85023e+10 2.02104e+10 0
2.45544e+06 6.77177e+10 2.00558e+10 0
2.46489e+06 6.69421e+10 1.99022e+10 0
2.47437e+06 6.61753e+10 1.97499e+10 0
2.48389e+06 6.54173e+10 1.95987e+10 0
2.49344e+06 6.46681e+10 1.94487e+10 0
2.50303e+06 6.39274e+10 1.92998e+10 0
