# r z integrandT integrandL
31.1411 1e-06 0.00653812 1.71448e-06
33.1131 1e-06 0.00572368 1.50115e-06
35.2101 1e-06 0.00497658 1.30542e-06
37.4398 1e-06 0.00429536 1.1269e-06
39.8107 1e-06 0.00367833 9.6517e-07
42.3318 1e-06 0.00312348 8.19701e-07
45.0125 1e-06 0.00262847 6.89893e-07
47.863 1e-06 0.00219062 5.7505e-07
50.894 1e-06 0.00180691 4.74389e-07
54.117 1e-06 0.00147403 3.87043e-07
57.544 1e-06 0.00118834 3.12069e-07
61.1881 1e-06 0.000946014 2.48461e-07
65.0629 1e-06 0.000743024 1.9517e-07
69.1831 1e-06 0.000575261 1.51121e-07
73.5642 1e-06 0.000438599 1.15232e-07
78.2228 1e-06 0.00032898 8.64411e-08
83.1764 1e-06 0.000242494 6.37227e-08
88.4437 1e-06 0.000175454 4.61103e-08
94.0445 1e-06 0.00012446 3.27118e-08
100 1e-06 8.64449e-05 2.27222e-08

1e-06 0.010001 1.2766e-07 3.39103e-11
1.06333e-06 0.010001 1.35731e-07 3.60542e-11
1.13066e-06 0.010001 1.44353e-07 3.83445e-11
1.20226e-06 0.010001 1.53475e-07 4.07675e-11
1.2784e-06 0.010001 1.63186e-07 4.33469e-11
1.35936e-06 0.010001 1.73535e-07 4.6096e-11
1.44544e-06 0.010001 1.84511e-07 4.90116e-11
1.53697e-06 0.010001 1.96207e-07 5.21183e-11
1.63431e-06 0.010001 2.08645e-07 5.54222e-11
1.7378e-06 0.010001 2.21838e-07 5.89266e-11
1.84785e-06 0.010001 2.35891e-07 6.26597e-11
1.96487e-06 0.010001 2.50838e-07 6.663e-11
2.0893e-06 0.010001 2.66726e-07 7.08502e-11
2.2216e-06 0.010001 2.83608e-07 7.53346e-11
2.36229e-06 0.010001 3.01572e-07 8.01063e-11
2.51189e-06 0.010001 3.20661e-07 8.51769e-11
2.67096e-06 0.010001 3.40968e-07 9.05711e-11
2.8401e-06 0.010001 3.62562e-07 9.63072e-11
3.01995e-06 0.010001 3.85525e-07 1.02407e-10
3.21119e-06 0.010001 4.09932e-07 1.0889e-10
3.41455e-06 0.010001 4.35899e-07 1.15788e-10
3.63078e-06 0.010001 4.63503e-07 1.2312e-10
3.86071e-06 0.010001 4.92853e-07 1.30916e-10
4.10519e-06 0.010001 5.24062e-07 1.39206e-10
4.36516e-06 0.010001 5.57249e-07 1.48022e-10
4.64159e-06 0.010001 5.9254e-07 1.57396e-10
4.93552e-06 0.010001 6.30066e-07 1.67364e-10
5.24807e-06 0.010001 6.69964e-07 1.77962e-10
5.58042e-06 0.010001 7.12391e-07 1.89232e-10
5.93381e-06 0.010001 7.57506e-07 2.01216e-10
6.30957e-06 0.010001 8.05474e-07 2.13958e-10
6.70914e-06 0.010001 8.56481e-07 2.27507e-10
7.134e-06 0.010001 9.10719e-07 2.41914e-10
7.58578e-06 0.010001 9.68389e-07 2.57233e-10
8.06616e-06 0.010001 1.02972e-06 2.73523e-10
8.57696e-06 0.010001 1.09492e-06 2.90844e-10
9.12011e-06 0.010001 1.16426e-06 3.09262e-10
9.69765e-06 0.010001 1.23799e-06 3.28847e-10
1.03118e-05 0.010001 1.31639e-06 3.49672e-10
1.09648e-05 0.010001 1.39975e-06 3.71815e-10
1.16591e-05 0.010001 1.48839e-06 3.95361e-10
1.23975e-05 0.010001 1.58265e-06 4.20398e-10
1.31826e-05 0.010001 1.68287e-06 4.4702e-10
1.40174e-05 0.010001 1.78944e-06 4.75328e-10
1.4905e-05 0.010001 1.90276e-06 5.0543e-10
1.58489e-05 0.010001 2.02326e-06 5.37437e-10
1.68526e-05 0.010001 2.15138e-06 5.71471e-10
1.79198e-05 0.010001 2.28762e-06 6.0766e-10
1.90546e-05 0.010001 2.43249e-06 6.46141e-10
2.02613e-05 0.010001 2.58653e-06 6.87059e-10
2.15443e-05 0.010001 2.75033e-06 7.30568e-10
2.29087e-05 0.010001 2.92449e-06 7.76833e-10
2.43594e-05 0.010001 3.10969e-06 8.26027e-10
2.5902e-05 0.010001 3.30662e-06 8.78337e-10
2.75423e-05 0.010001 3.51602e-06 9.33959e-10
2.92864e-05 0.010001 3.73867e-06 9.93104e-10
3.11411e-05 0.010001 3.97543e-06 1.05599e-09
3.31131e-05 0.010001 4.22718e-06 1.12287e-09
3.52101e-05 0.010001 4.49487e-06 1.19397e-09
3.74398e-05 0.010001 4.77952e-06 1.26958e-09
3.98107e-05 0.010001 5.08219e-06 1.34998e-09
4.23318e-05 0.010001 5.40403e-06 1.43547e-09
4.50125e-05 0.010001 5.74624e-06 1.52638e-09
4.7863e-05 0.010001 6.11013e-06 1.62304e-09
5.0894e-05 0.010001 6.49707e-06 1.72582e-09
5.4117e-05 0.010001 6.90851e-06 1.83511e-09
5.7544e-05 0.010001 7.346e-06 1.95133e-09
6.11881e-05 0.010001 7.81119e-06 2.0749e-09
6.50629e-05 0.010001 8.30585e-06 2.2063e-09
6.91831e-05 0.010001 8.83183e-06 2.34602e-09
7.35642e-05 0.010001 9.39112e-06 2.49458e-09
7.82228e-05 0.010001 9.98583e-06 2.65256e-09
8.31764e-05 0.010001 1.06182e-05 2.82054e-09
8.84437e-05 0.010001 1.12906e-05 2.99916e-09
9.40445e-05 0.010001 1.20056e-05 3.18909e-09
0.0001 0.010001 1.27659e-05 3.39105e-09
0.000106333 0.010001 1.35743e-05 3.6058e-09
0.000113066 0.010001 1.44339e-05 3.83415e-09
0.000120226 0.010001 1.5348e-05 4.07697e-09
0.00012784 0.010001 1.63199e-05 4.33516e-09
0.000135936 0.010001 1.73534e-05 4.6097e-09
0.000144544 0.010001 1.84523e-05 4.90164e-09
0.000153697 0.010001 1.96208e-05 5.21206e-09
0.000163431 0.010001 2.08634e-05 5.54215e-09
0.00017378 0.010001 2.21846e-05 5.89314e-09
0.000184785 0.010001 2.35894e-05 6.26637e-09
0.000196487 0.010001 2.50833e-05 6.66323e-09
0.00020893 0.010001 2.66717e-05 7.08524e-09
0.00022216 0.010001 2.83607e-05 7.53398e-09
0.000236229 0.010001 3.01567e-05 8.01115e-09
0.000251189 0.010001 3.20664e-05 8.51854e-09
0.000267096 0.010001 3.40971e-05 9.05808e-09
0.00028401 0.010001 3.62563e-05 9.63181e-09
0.000301995 0.010001 3.85523e-05 1.02419e-08
0.000321119 0.010001 4.09937e-05 1.08906e-08
0.000341455 0.010001 4.35897e-05 1.15805e-08
0.000363078 0.010001 4.63501e-05 1.2314e-08
0.000386071 0.010001 4.92853e-05 1.30941e-08
0.000410519 0.010001 5.24064e-05 1.39236e-08
0.000436516 0.010001 5.57251e-05 1.48057e-08
0.000464159 0.010001 5.9254e-05 1.57437e-08
0.000493552 0.010001 6.30063e-05 1.67412e-08
0.000524807 0.010001 6.69963e-05 1.7802e-08
0.000558042 0.010001 7.12389e-05 1.89301e-08
0.000593381 0.010001 7.57502e-05 2.01297e-08
0.000630957 0.010001 8.05472e-05 2.14054e-08
0.000670914 0.010001 8.5648e-05 2.27621e-08
0.0007134 0.010001 9.10718e-05 2.4205e-08
0.000758578 0.010001 9.68391e-05 2.57394e-08
0.000806616 0.010001 0.000102972 2.73714e-08
0.000857696 0.010001 0.000109492 2.9107e-08
0.000912011 0.010001 0.000116426 3.0953e-08
0.000969765 0.010001 0.000123799 3.29164e-08
0.00103118 0.010001 0.000131639 3.50048e-08
0.00109648 0.010001 0.000139975 3.7226e-08
0.00116591 0.010001 0.000148839 3.95888e-08
0.00123975 0.010001 0.000158264 4.21022e-08
0.00131826 0.010001 0.000168287 4.47759e-08
0.00140174 0.010001 0.000178944 4.76203e-08
0.0014905 0.010001 0.000190276 5.06464e-08
0.00158489 0.010001 0.000202325 5.38661e-08
0.00168526 0.010001 0.000215138 5.72919e-08
0.00179198 0.010001 0.000228761 6.09374e-08
0.00190546 0.010001 0.000243248 6.48169e-08
0.00202613 0.010001 0.000258652 6.89457e-08
0.00215443 0.010001 0.000275031 7.33404e-08
0.00229087 0.010001 0.000292448 7.80185e-08
0.00243594 0.010001 0.000310968 8.29991e-08
0.0025902 0.010001 0.00033066 8.83022e-08
0.00275423 0.010001 0.000351599 9.39496e-08
0.00292864 0.010001 0.000373864 9.99647e-08
0.00311411 0.010001 0.00039754 1.06373e-07
0.00331131 0.010001 0.000422714 1.132e-07
0.00352101 0.010001 0.000449482 1.20476e-07
0.00374398 0.010001 0.000477946 1.28233e-07
0.00398107 0.010001 0.000508212 1.36503e-07
0.00423318 0.010001 0.000540394 1.45324e-07
0.00450125 0.010001 0.000574614 1.54735e-07
0.0047863 0.010001 0.000611001 1.64778e-07
0.0050894 0.010001 0.000649693 1.75502e-07
0.0054117 0.010001 0.000690833 1.86956e-07
0.0057544 0.010001 0.000734579 1.99196e-07
0.00611881 0.010001 0.000781095 2.12282e-07
0.00650629 0.010001 0.000830556 2.26281e-07
0.00691831 0.010001 0.000883148 2.41264e-07
0.00735642 0.010001 0.000939071 2.57311e-07
0.00782228 0.010001 0.000998533 2.7451e-07
0.00831764 0.010001 0.00106176 2.92958e-07
0.00884437 0.010001 0.00112899 3.12761e-07
0.00940445 0.010001 0.00120048 3.34037e-07
0.01 0.010001 0.00127649 3.56918e-07
0.0106333 0.010001 0.00135731 3.8155e-07
0.0113066 0.010001 0.00144325 4.08095e-07
0.0120226 0.010001 0.00153462 4.36738e-07
0.012784 0.010001 0.00163178 4.6768e-07
0.0135936 0.010001 0.00173509 5.01152e-07
0.0144544 0.010001 0.00184494 5.37411e-07
0.0153697 0.010001 0.00196173 5.76748e-07
0.0163431 0.010001 0.00208592 6.19491e-07
0.017378 0.010001 0.00221796 6.6601e-07
0.0184785 0.010001 0.00235835 7.16726e-07
0.0196487 0.010001 0.00250762 7.72116e-07
0.020893 0.010001 0.00266633 8.32722e-07
0.022216 0.010001 0.00283507 8.99162e-07
0.0236229 0.010001 0.00301447 9.72139e-07
0.0251189 0.010001 0.00320521 1.05246e-06
0.0267096 0.010001 0.003408 1.14103e-06
0.028401 0.010001 0.0036236 1.23891e-06
0.0301995 0.010001 0.00385281 1.34729e-06
0.0321119 0.010001 0.00409648 1.46756e-06
0.0341455 0.010001 0.00435552 1.60127e-06
0.0363078 0.010001 0.00463089 1.75025e-06
0.0386071 0.010001 0.00492362 1.91656e-06
0.0410519 0.010001 0.00523479 2.10258e-06
0.0436516 0.010001 0.00556553 2.31103e-06
0.0464159 0.010001 0.00591708 2.54505e-06
0.0493552 0.010001 0.00629073 2.80823e-06
0.0524807 0.010001 0.00668782 3.1047e-06
0.0558042 0.010001 0.00710983 3.4392e-06
0.0593381 0.010001 0.00755827 3.81715e-06
0.0630957 0.010001 0.00803476 4.2448e-06
0.0670914 0.010001 0.00854103 4.72929e-06
0.07134 0.010001 0.00907886 5.27882e-06
0.0758578 0.010001 0.00965019 5.90277e-06
0.0806616 0.010001 0.010257 6.61189e-06
0.0857696 0.010001 0.0109014 7.41848e-06
0.0912011 0.010001 0.0115857 8.33659e-06
0.0969765 0.010001 0.0123122 9.38225e-06
0.103118 0.010001 0.0130833 1.05738e-05
0.109648 0.010001 0.0139016 1.1932e-05
0.116591 0.010001 0.0147698 1.34808e-05
