# convention_y = (E_in - E_out)/E_in
# target       = isoscalar_nucleon
# projectile   = nu
# current      = NC
# units_sigma  = cm^2
# units_E      = GeV
# M_Z_GeV      = 91.1876
# dipole_model = IIM
# generated_by = sigma_nuN (PHASIS/dipole) commit 1474a9b-sujo
# M_W_GeV      = 80.379
# xF3_from     = NNPDF31_nlo_as_0118
# model IIM
# gerado_por sigma_nuN (PHASIS/dipole)
# formalismo Kutak-Kwiecinski EPJ C29 (2003) 521, eqs (2),(8),(9),(12),(13)
# beam nu
# use_F3 1  pdf_set NNPDF31_nlo_as_0118
# Q2min_GeV2 1
# largeXFactor (1-x)^7   [regra de contagem de constituintes, n_s=4]
# bCGC [Rezaeian & Schmidt, PRD 88 (2013) 074016, Tabela II, m_c=1.4]
# bCGC B_CGC 5.5  gamma_s 0.6492  N0 0.3658  x0 0.00069  lambda 0.2023  bMax 20  Nb 80
# massas_GeV  u 0.01  d 0.01  s 0.01  c 1.4
# canais uu, dd, ss, cc
# quadratura_rz  Nr 120  Nz 120  rMin 1e-08  rMax 1000  zMin 1e-11   [ln r; z log nas duas pontas]
# tabela_F  Nx 121  NQ 121  xMin 2.664472562e-15  xMax 1  Q2Min 1  Q2Max 1.968400829e+14
# integracao_sigma  nos_por_decada_Q 16  nos_por_decada_x 16
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1515660759 8.415107914e-06 3.276666304e-33
1649648074 8.632225596e-06 3.36120737e-33
1795480125 8.85392539e-06 3.447532614e-33
1954204008 9.080287436e-06 3.535673242e-33
2126959387 9.311390398e-06 3.625659882e-33
2314986672 9.547311937e-06 3.717522775e-33
2519635929 9.788134806e-06 3.811294143e-33
2742376573 1.003394136e-05 3.907006053e-33
2984807917 1.028481394e-05 4.004690567e-33
3248670656 1.054083474e-05 4.104379692e-33
3535859367 1.080209269e-05 4.20610805e-33
3848436109 1.106867306e-05 4.309908846e-33
4188645235 1.134066127e-05 4.415815345e-33
4558929500 1.161814875e-05 4.523863143e-33
4961947603 1.190122536e-05 4.634087228e-33
5400593279 1.218998009e-05 4.746522258e-33
5878016072 1.248450735e-05 4.861204989e-33
6397643956 1.278490038e-05 4.978171726e-33
6963207940 1.309125405e-05 5.097459409e-33
7578768864 1.340366186e-05 5.21910445e-33
8248746553 1.372222491e-05 5.343146212e-33
8977951553 1.404704045e-05 5.469622565e-33
9771619673 1.437820624e-05 5.598571567e-33
1.063544957e+10 1.471582628e-05 5.730033722e-33
1.15756437e+10 1.506000264e-05 5.864048769e-33
1.259895278e+10 1.541083857e-05 6.000656913e-33
1.371272434e+10 1.576843655e-05 6.139898055e-33
1.492495545e+10 1.61329079e-05 6.281815545e-33
1.624435011e+10 1.650435894e-05 6.42645078e-33
1.768038178e+10 1.688289556e-05 6.57384499e-33
1.924336141e+10 1.726863354e-05 6.724043259e-33
2.094451143e+10 1.766168294e-05 6.877088443e-33
2.279604637e+10 1.806215535e-05 7.033023987e-33
2.481126055e+10 1.847016851e-05 7.191895746e-33
2.700462352e+10 1.888583903e-05 7.353749114e-33
2.939188399e+10 1.930928407e-05 7.51862972e-33
3.199018285e+10 1.974062016e-05 7.686582938e-33
3.481817631e+10 2.017997351e-05 7.857657905e-33
3.789616981e+10 2.062746531e-05 8.031901814e-33
