# Collapsar-like analytic profile with exponential cutoff
# rho(r) = rho0*(r/r0)^(-alpha)*exp[-(r-r0)/Rcut]
# columns:
# r_cm dens_gcm3 temp_MeV ye pres_dummy entr_dummy
1.45118e+06 3.28153e+11 46.9075 0.112938 1.53928e+13 0.00680065
1.45676e+06 3.24394e+11 46.7636 0.113071 1.51699e+13 0.00680587
1.46236e+06 3.20679e+11 46.6202 0.113204 1.49501e+13 0.0068111
1.46799e+06 3.17007e+11 46.4772 0.113338 1.47336e+13 0.00681633
1.47363e+06 3.13376e+11 46.3346 0.113471 1.45202e+13 0.00682156
1.4793e+06 3.09787e+11 46.1925 0.113605 1.43098e+13 0.0068268
1.48499e+06 3.06239e+11 46.0508 0.113738 1.41026e+13 0.00683204
1.4907e+06 3.02732e+11 45.9095 0.113871 1.38983e+13 0.00683728
1.49644e+06 2.99265e+11 45.7687 0.114005 1.3697e+13 0.00684253
1.50219e+06 2.95838e+11 45.6283 0.114138 1.34986e+13 0.00684779
1.50797e+06 2.9245e+11 45.4884 0.114271 1.33031e+13 0.00685304
1.51377e+06 2.891e+11 45.3488 0.114405 1.31104e+13 0.0068583
1.51959e+06 2.85789e+11 45.2097 0.114538 1.29205e+13 0.00686357
1.52544e+06 2.82516e+11 45.0711 0.114672 1.27333e+13 0.00686884
1.5313e+06 2.79281e+11 44.9328 0.114805 1.25489e+13 0.00687411
1.53719e+06 2.76082e+11 44.795 0.114938 1.23671e+13 0.00687939
1.54311e+06 2.7292e+11 44.6576 0.115072 1.2188e+13 0.00688467
1.54904e+06 2.69795e+11 44.5206 0.115205 1.20114e+13 0.00688996
1.555e+06 2.66705e+11 44.384 0.115338 1.18374e+13 0.00689525
1.56098e+06 2.6365e+11 44.2479 0.115472 1.1666e+13 0.00690054
1.56699e+06 2.60631e+11 44.1122 0.115605 1.1497e+13 0.00690584
1.57301e+06 2.57646e+11 43.9769 0.115739 1.13305e+13 0.00691114
1.57906e+06 2.54695e+11 43.842 0.115872 1.11663e+13 0.00691645
1.58514e+06 2.51778e+11 43.7075 0.116005 1.10046e+13 0.00692176
1.59123e+06 2.48895e+11 43.5734 0.116139 1.08452e+13 0.00692707
1.59735e+06 2.46044e+11 43.4397 0.116272 1.06881e+13 0.00693239
1.6035e+06 2.43226e+11 43.3065 0.116405 1.05333e+13 0.00693771
1.60967e+06 2.40441e+11 43.1737 0.116539 1.03807e+13 0.00694304
1.61586e+06 2.37687e+11 43.0412 0.116672 1.02303e+13 0.00694837
1.62207e+06 2.34965e+11 42.9092 0.116806 1.00822e+13 0.0069537
1.62831e+06 2.32274e+11 42.7776 0.116939 9.93611e+12 0.00695904
1.63457e+06 2.29614e+11 42.6464 0.117072 9.79218e+12 0.00696438
1.64086e+06 2.26984e+11 42.5155 0.117206 9.65034e+12 0.00696973
1.64717e+06 2.24384e+11 42.3851 0.117339 9.51056e+12 0.00697508
1.65351e+06 2.21814e+11 42.2551 0.117472 9.37279e+12 0.00698044
1.65987e+06 2.19274e+11 42.1255 0.117606 9.23703e+12 0.0069858
1.66625e+06 2.16763e+11 41.9963 0.117739 9.10323e+12 0.00699116
1.67266e+06 2.1428e+11 41.8675 0.117873 8.97137e+12 0.00699653
1.67909e+06 2.11826e+11 41.739 0.118006 8.84141e+12 0.0070019
1.68555e+06 2.094e+11 41.611 0.118139 8.71335e+12 0.00700727
1.69204e+06 2.07002e+11 41.4833 0.118273 8.58713e+12 0.00701265
1.69854e+06 2.04631e+11 41.3561 0.118406 8.46274e+12 0.00701804
1.70508e+06 2.02288e+11 41.2292 0.11854 8.34016e+12 0.00702342
1.71163e+06 1.99971e+11 41.1028 0.118673 8.21935e+12 0.00702882
1.71822e+06 1.97681e+11 40.9767 0.118806 8.10029e+12 0.00703421
1.72483e+06 1.95416e+11 40.851 0.11894 7.98296e+12 0.00703961
1.73146e+06 1.93178e+11 40.7257 0.119073 7.86732e+12 0.00704502
1.73812e+06 1.90966e+11 40.6007 0.119206 7.75336e+12 0.00705043
1.74481e+06 1.88779e+11 40.4762 0.11934 7.64105e+12 0.00705584
1.75152e+06 1.86617e+11 40.352 0.119473 7.53037e+12 0.00706126
1.75825e+06 1.84479e+11 40.2283 0.119607 7.42129e+12 0.00706668
1.76502e+06 1.82367e+11 40.1049 0.11974 7.31379e+12 0.0070721
1.77181e+06 1.80278e+11 39.9818 0.119873 7.20784e+12 0.00707753
1.77862e+06 1.78213e+11 39.8592 0.120007 7.10344e+12 0.00708296
1.78546e+06 1.76172e+11 39.7369 0.12014 7.00054e+12 0.0070884
1.79233e+06 1.74155e+11 39.615 0.120273 6.89913e+12 0.00709384
1.79922e+06 1.7216e+11 39.4935 0.120407 6.7992e+12 0.00709929
1.80614e+06 1.70188e+11 39.3723 0.12054 6.70071e+12 0.00710474
1.81309e+06 1.68239e+11 39.2516 0.120674 6.60365e+12 0.00711019
1.82006e+06 1.66312e+11 39.1312 0.120807 6.50799e+12 0.00711565
1.82706e+06 1.64407e+11 39.0111 0.12094 6.41372e+12 0.00712111
1.83409e+06 1.62524e+11 38.8915 0.121074 6.32081e+12 0.00712658
1.84115e+06 1.60663e+11 38.7721 0.121207 6.22925e+12 0.00713205
1.84823e+06 1.58823e+11 38.6532 0.12134 6.13902e+12 0.00713753
1.85534e+06 1.57004e+11 38.5346 0.121474 6.05009e+12 0.00714301
1.86247e+06 1.55206e+11 38.4164 0.121607 5.96245e+12 0.00714849
1.86964e+06 1.53428e+11 38.2986 0.121741 5.87608e+12 0.00715398
1.87683e+06 1.51671e+11 38.1811 0.121874 5.79096e+12 0.00715947
1.88405e+06 1.49934e+11 38.064 0.122007 5.70708e+12 0.00716497
1.89129e+06 1.48217e+11 37.9472 0.122141 5.62441e+12 0.00717047
1.89857e+06 1.46519e+11 37.8308 0.122274 5.54294e+12 0.00717597
1.90587e+06 1.44841e+11 37.7147 0.122407 5.46264e+12 0.00718148
1.9132e+06 1.43182e+11 37.5991 0.122541 5.38351e+12 0.00718699
1.92056e+06 1.41542e+11 37.4837 0.122674 5.30553e+12 0.00719251
1.92795e+06 1.39921e+11 37.3687 0.122808 5.22868e+12 0.00719803
1.93536e+06 1.38319e+11 37.2541 0.122941 5.15293e+12 0.00720356
1.94281e+06 1.36734e+11 37.1398 0.123074 5.07829e+12 0.00720909
1.95028e+06 1.35168e+11 37.0259 0.123208 5.00473e+12 0.00721462
1.95778e+06 1.3362e+11 36.9123 0.123341 4.93223e+12 0.00722016
1.96531e+06 1.3209e+11 36.7991 0.123474 4.86078e+12 0.0072257
1.97287e+06 1.30577e+11 36.6862 0.123608 4.79037e+12 0.00723125
1.98046e+06 1.29082e+11 36.5736 0.123741 4.72098e+12 0.0072368
1.98808e+06 1.27603e+11 36.4614 0.123875 4.65259e+12 0.00724236
1.99572e+06 1.26142e+11 36.3496 0.124008 4.5852e+12 0.00724792
2.0034e+06 1.24697e+11 36.2381 0.124141 4.51878e+12 0.00725348
2.0111e+06 1.23269e+11 36.1269 0.124275 4.45332e+12 0.00725905
2.01884e+06 1.21857e+11 36.0161 0.124408 4.38881e+12 0.00726462
2.0266e+06 1.20461e+11 35.9056 0.124542 4.32523e+12 0.0072702
2.0344e+06 1.19082e+11 35.7954 0.124675 4.26258e+12 0.00727578
2.04222e+06 1.17718e+11 35.6856 0.124808 4.20083e+12 0.00728136
2.05008e+06 1.16369e+11 35.5762 0.124942 4.13998e+12 0.00728695
2.05796e+06 1.15037e+11 35.467 0.125075 4.08001e+12 0.00729255
2.06588e+06 1.13719e+11 35.3582 0.125208 4.0209e+12 0.00729814
