# r z psiT2 psiL2
78.2228 1e-06 8.9503e-09 2.35173e-12
83.1764 1e-06 6.20443e-09 1.6304e-12
88.4437 1e-06 4.22181e-09 1.10951e-12
94.0445 1e-06 2.81643e-09 7.40239e-13
100 1e-06 1.83967e-09 4.83562e-13

1e-06 0.010001 7.34416e+08 195082
1.06333e-06 0.010001 6.49544e+08 172538
1.13066e-06 0.010001 5.74481e+08 152599
1.20226e-06 0.010001 5.08092e+08 134964
1.2784e-06 0.010001 4.49375e+08 119367
1.35936e-06 0.010001 3.97443e+08 105573
1.44544e-06 0.010001 3.51513e+08 93372.4
1.53697e-06 0.010001 3.10891e+08 82581.9
1.63431e-06 0.010001 2.74964e+08 73038.5
1.7378e-06 0.010001 2.43188e+08 64597.9
1.84785e-06 0.010001 2.15084e+08 57132.7
1.96487e-06 0.010001 1.90228e+08 50530.3
2.0893e-06 0.010001 1.68245e+08 44690.8
2.2216e-06 0.010001 1.48802e+08 39526.2
2.36229e-06 0.010001 1.31606e+08 34958.4
2.51189e-06 0.010001 1.16397e+08 30918.5
2.67096e-06 0.010001 1.02946e+08 27345.4
2.8401e-06 0.010001 9.1049e+07 24185.3
3.01995e-06 0.010001 8.05271e+07 21390.4
3.21119e-06 0.010001 7.12211e+07 18918.4
3.41455e-06 0.010001 6.29905e+07 16732.1
3.63078e-06 0.010001 5.57111e+07 14798.5
3.86071e-06 0.010001 4.9273e+07 13088.4
4.10519e-06 0.010001 4.35788e+07 11575.8
4.36516e-06 0.010001 3.85427e+07 10238.1
4.64159e-06 0.010001 3.40886e+07 9054.93
4.93552e-06 0.010001 3.01492e+07 8008.51
5.24807e-06 0.010001 2.6665e+07 7083.02
5.58042e-06 0.010001 2.35835e+07 6264.48
5.93381e-06 0.010001 2.08581e+07 5540.53
6.30957e-06 0.010001 1.84477e+07 4900.25
6.70914e-06 0.010001 1.63158e+07 4333.96
7.134e-06 0.010001 1.44303e+07 3833.11
7.58578e-06 0.010001 1.27627e+07 3390.15
8.06616e-06 0.010001 1.12878e+07 2998.37
8.57696e-06 0.010001 9.98333e+06 2651.87
9.12011e-06 0.010001 8.82962e+06 2345.41
9.69765e-06 0.010001 7.80924e+06 2074.36
1.03118e-05 0.010001 6.90678e+06 1834.64
1.09648e-05 0.010001 6.1086e+06 1622.63
1.16591e-05 0.010001 5.40267e+06 1435.11
1.23975e-05 0.010001 4.77832e+06 1269.26
1.31826e-05 0.010001 4.22612e+06 1122.58
1.40174e-05 0.010001 3.73774e+06 992.853
1.4905e-05 0.010001 3.30579e+06 878.116
1.58489e-05 0.010001 2.92376e+06 776.638
1.68526e-05 0.010001 2.58588e+06 686.887
1.79198e-05 0.010001 2.28705e+06 607.508
1.90546e-05 0.010001 2.02275e+06 537.302
2.02613e-05 0.010001 1.78899e+06 475.21
2.15443e-05 0.010001 1.58225e+06 420.293
2.29087e-05 0.010001 1.3994e+06 371.722
2.43594e-05 0.010001 1.23768e+06 328.765
2.5902e-05 0.010001 1.09465e+06 290.772
2.75423e-05 0.010001 968149 257.169
2.92864e-05 0.010001 856266 227.45
3.11411e-05 0.010001 757313 201.165
3.31131e-05 0.010001 669795 177.918
3.52101e-05 0.010001 592391 157.357
3.74398e-05 0.010001 523932 139.172
3.98107e-05 0.010001 463385 123.089
4.23318e-05 0.010001 409835 108.865
4.50125e-05 0.010001 362473 96.2838
4.7863e-05 0.010001 320584 85.157
5.0894e-05 0.010001 283536 75.316
5.4117e-05 0.010001 250770 66.6122
5.7544e-05 0.010001 221790 58.9143
6.11881e-05 0.010001 196159 52.106
6.50629e-05 0.010001 173490 46.0845
6.91831e-05 0.010001 153441 40.7589
7.35642e-05 0.010001 135709 36.0487
7.82228e-05 0.010001 120026 31.8828
8.31764e-05 0.010001 106155 28.1983
8.84437e-05 0.010001 93887.7 24.9397
9.40445e-05 0.010001 83037.7 22.0576
0.0001 0.010001 73441.6 19.5086
0.000106333 0.010001 64954.4 17.2541
0.000113066 0.010001 57448.1 15.2602
0.000120226 0.010001 50809.2 13.4967
0.00012784 0.010001 44937.5 11.937
0.000135936 0.010001 39744.3 10.5576
0.000144544 0.010001 35151.3 9.33754
0.000153697 0.010001 31089.1 8.25849
0.000163431 0.010001 27496.4 7.30414
0.00017378 0.010001 24318.8 6.46008
0.000184785 0.010001 21508.4 5.71356
0.000196487 0.010001 19022.8 5.05331
0.00020893 0.010001 16824.5 4.46936
0.00022216 0.010001 14880.2 3.9529
0.000236229 0.010001 13160.6 3.49612
0.000251189 0.010001 11639.7 3.09212
0.000267096 0.010001 10294.6 2.73481
0.00028401 0.010001 9104.9 2.4188
0.000301995 0.010001 8052.71 2.1393
0.000321119 0.010001 7122.11 1.8921
0.000341455 0.010001 6299.05 1.67347
0.000363078 0.010001 5571.11 1.4801
0.000386071 0.010001 4927.3 1.30908
0.000410519 0.010001 4357.88 1.15783
0.000436516 0.010001 3854.27 1.02405
0.000464159 0.010001 3408.86 0.905731
0.000493552 0.010001 3014.92 0.801085
0.000524807 0.010001 2666.5 0.708533
0.000558042 0.010001 2358.35 0.626676
0.000593381 0.010001 2085.81 0.554278
0.000630957 0.010001 1844.77 0.490247
0.000670914 0.010001 1631.58 0.433615
0.0007134 0.010001 1443.03 0.383527
0.000758578 0.010001 1276.27 0.339227
0.000806616 0.010001 1128.78 0.300046
0.000857696 0.010001 998.332 0.265393
0.000912011 0.010001 882.961 0.234744
0.000969765 0.010001 780.923 0.207637
0.00103118 0.010001 690.677 0.183662
0.00109648 0.010001 610.86 0.162457
0.00116591 0.010001 540.267 0.143702
0.00123975 0.010001 477.832 0.127115
0.00131826 0.010001 422.612 0.112444
0.00140174 0.010001 373.773 0.099468
0.0014905 0.010001 330.578 0.0879914
0.00158489 0.010001 292.376 0.0778408
0.00168526 0.010001 258.588 0.0688629
0.00179198 0.010001 228.704 0.0609222
0.00190546 0.010001 202.274 0.0538988
0.00202613 0.010001 178.899 0.0476869
0.00215443 0.010001 158.225 0.0421924
0.00229087 0.010001 139.939 0.0373327
0.00243594 0.010001 123.768 0.0330343
0.0025902 0.010001 109.464 0.0292323
0.00275423 0.010001 96.8143 0.0258694
0.00292864 0.010001 85.6261 0.0228949
0.00311411 0.010001 75.7308 0.0202638
0.00331131 0.010001 66.979 0.0179365
0.00352101 0.010001 59.2386 0.0158779
0.00374398 0.010001 52.3927 0.0140569
0.00398107 0.010001 46.338 0.0124461
0.00423318 0.010001 40.983 0.0110212
0.00450125 0.010001 36.2468 0.00976068
0.0047863 0.010001 32.0579 0.00864557
0.0050894 0.010001 28.3531 0.00765907
0.0054117 0.010001 25.0765 0.00678631
0.0057544 0.010001 22.1785 0.00601416
0.00611881 0.010001 19.6154 0.005331
0.00650629 0.010001 17.3486 0.00472653
0.00691831 0.010001 15.3437 0.00419167
0.00735642 0.010001 13.5704 0.00371839
0.00782228 0.010001 12.0021 0.00329955
0.00831764 0.010001 10.6151 0.00292888
0.00884437 0.010001 9.38832 0.00260082
0.00940445 0.010001 8.30332 0.00231043
0.01 0.010001 7.34371 0.00205337
0.0106333 0.010001 6.495 0.00182579
0.0113066 0.010001 5.74437 0.00162429
0.0120226 0.010001 5.08048 0.00144585
0.012784 0.010001 4.49332 0.00128781
0.0135936 0.010001 3.97401 0.00114782
0.0144544 0.010001 3.51471 0.0010238
0.0153697 0.010001 3.1085 0.000913895
0.0163431 0.010001 2.74922 0.000816484
0.017378 0.010001 2.43147 0.000730123
0.0184785 0.010001 2.15044 0.000653539
0.0196487 0.010001 1.90188 0.000585605
0.020893 0.010001 1.68205 0.000525323
0.022216 0.010001 1.48763 0.000471812
0.0236229 0.010001 1.31567 0.000424292
0.0251189 0.010001 1.16359 0.000382073
0.0267096 0.010001 1.02908 0.000344545
0.028401 0.010001 0.910115 0.000311168
0.0301995 0.010001 0.804899 0.000281466
0.0321119 0.010001 0.711844 0.000255017
0.0341455 0.010001 0.629542 0.000231447
0.0363078 0.010001 0.556752 0.000210425
0.0386071 0.010001 0.492375 0.000191661
0.0410519 0.010001 0.435437 0.000174896
0.0436516 0.010001 0.38508 0.000159901
0.0464159 0.010001 0.340543 0.000146474
0.0493552 0.010001 0.301153 0.000134437
0.0524807 0.010001 0.266316 0.000123632
0.0558042 0.010001 0.235505 0.00011392
0.0593381 0.010001 0.208255 0.000105175
0.0630957 0.010001 0.184155 9.72899e-05
0.0670914 0.010001 0.162841 9.01672e-05
0.07134 0.010001 0.14399 8.37214e-05
0.0758578 0.010001 0.127318 7.7877e-05
0.0806616 0.010001 0.112573 7.25671e-05
0.0857696 0.010001 0.0995326 6.77325e-05
